;title;book_url;author;author_url;rating;votes
90;Naoki Urasawa's Monster, Volume 1 (Naoki Urasawa's Monster: Kanzenban, #1);https://www.goodreads.com/book/show/6609784-naoki-urasawa-s-monster-volume-1;Naoki Urasawa;https://www.goodreads.com/author/show/294649.Naoki_Urasawa;4.58;10994
91;Sierra Six (Gray Man, #11);https://www.goodreads.com/book/show/58122885-sierra-six;Mark Greaney;https://www.goodreads.com/author/show/2961590.Mark_Greaney;4.58;14483
92;Highball Rush (Bootleg Springs, #6);https://www.goodreads.com/book/show/46019885-highball-rush;Claire Kingsley;https://www.goodreads.com/author/show/15487051.Claire_Kingsley;4.57;16070
93;Walk Through Walls: A Memoir;https://www.goodreads.com/book/show/28814918-walk-through-walls;Marina Abramović;https://www.goodreads.com/author/show/16793.Marina_Abramovi_;4.56;18747
94;Las legiones malditas (Publio Cornelio Escipión, #2);https://www.goodreads.com/book/show/6420319-las-legiones-malditas;Santiago Posteguillo;https://www.goodreads.com/author/show/1469075.Santiago_Posteguillo;4.7;10872
95;Death Rocks (DCI Ryan Mysteries, #21);https://www.goodreads.com/book/show/210533162-death-rocks;L.J. Ross;https://www.goodreads.com/author/show/11900421.L_J_Ross;4.62;14046
96;Magical Midlife Battle (Leveling Up, #8);https://www.goodreads.com/book/show/123284399-magical-midlife-battle;K.F. Breene;https://www.goodreads.com/author/show/7010202.K_F_Breene;4.75;10146
97;Moth (Monstrous, #5);https://www.goodreads.com/book/show/60398931-moth;Lily Mayne;https://www.goodreads.com/author/show/21321484.Lily_Mayne;4.6;10962
98;Madness (L.O.R.D.S., #6);https://www.goodreads.com/book/show/204535779-madness;Shantel Tessier;https://www.goodreads.com/author/show/7086716.Shantel_Tessier;4.59;38435
99;Poor: Grit, courage, and the life-changing value of self-belief;https://www.goodreads.com/book/show/86547006-poor;Katriona O'Sullivan;https://www.goodreads.com/author/show/25017025.Katriona_O_Sullivan;4.59;11387
100;The Long Game (Game Changers, #6);https://www.goodreads.com/book/show/58939872-the-long-game;Rachel  Reid;https://www.goodreads.com/author/show/17722552.Rachel_Reid;4.58;14348
