position,name,genre,url,description,ratingValue,ratingCount,bestRating,worstRating
31,Creature Commandos,"Animation, Action, Adventure",https://www.imdb.com/title/tt26545355/,"Follows a group of military super humans comprised of a human leader, a werewolf, a vampire, Frankenstein&apos;s monster and a gorgon.",7.8,5525,10,1
32,The Sopranos,"Crime, Drama",https://www.imdb.com/title/tt0141842/,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",9.2,504859,10,1
33,What We Do in the Shadows,"Comedy, Fantasy, Horror",https://www.imdb.com/title/tt7908628/,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,8.6,113488,10,1
34,Stranger Things,"Drama, Fantasy, Horror",https://www.imdb.com/title/tt4574334/,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",8.7,1403993,10,1
35,Severance,"Drama, Mystery, Sci-Fi",https://www.imdb.com/title/tt11280740/,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",8.7,235171,10,1
36,Ojing-eo geim,"Action, Drama, Mystery",https://www.imdb.com/title/tt10919420/,"Hundreds of cash-strapped players accept a strange invitation to compete in children&apos;s games. Inside, a tempting prize awaits with deadly high stakes: a survival game that has a whopping 45.6 billion-won prize at stake.",8.0,591227,10,1
37,The Walking Dead,"Drama, Horror, Thriller",https://www.imdb.com/title/tt1520211/,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,8.1,1118756,10,1
38,Supernatural,"Drama, Fantasy, Horror",https://www.imdb.com/title/tt0460681/,"Two brothers follow their father&apos;s footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",8.4,500422,10,1
39,NCIS: Naval Criminal Investigative Service,"Action, Crime, Drama",https://www.imdb.com/title/tt0364845/,"Follows the Major Case Response Team (MCRT) from the Naval Criminal Investigative Service (NCIS), as they get to the bottom of criminal cases connected to Navy and Marine Corps personnel.",7.8,168115,10,1
40,Cross,"Action, Crime, Drama",https://www.imdb.com/title/tt11794812/,"Series adaptation of James Patterson novels about the complicated and brilliant detective, Alex Cross.",7.2,19832,10,1
41,Grey&apos;s Anatomy,"Drama, Romance",https://www.imdb.com/title/tt0413573/,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,7.6,353008,10,1
42,The Rookie,"Action, Crime, Drama",https://www.imdb.com/title/tt7587890/,"Starting over isn&apos;t easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he&apos;s met with skepticism from those who see him as just a walking midlife ...",8.0,86821,10,1
43,Blue Bloods,"Crime, Drama, Mystery",https://www.imdb.com/title/tt1595859/,Revolves around a family of New York cops.,7.7,50429,10,1
44,Dandadan,"Animation, Action, Adventure",https://www.imdb.com/title/tt30217403/,"When Momo and Okarun&apos;s beliefs clash, they&apos;re thrown into a world of ghosts, aliens and awakened powers.",8.6,18594,10,1
45,Law &amp; Order: Special Victims Unit,"Crime, Drama, Mystery",https://www.imdb.com/title/tt0203259/,"Follows the New York City Police Department&apos;s (NYPD) Special Victims Unit (SVU), a specially trained squad of detectives who investigates sex crimes including rape, child sexual abuse, human trafficking and domestic violence.",8.1,132384,10,1
46,1992,"Action, Crime, Drama",https://www.imdb.com/title/tt27787158/,"After the death of her husband in a strange explosion, Amparo begins to search for answers with the only help of Richi, a security guard, ex-cop and alcoholic. While the murders always follow the same pattern.",5.6,1124,10,1
47,House M.D.,"Drama, Mystery",https://www.imdb.com/title/tt0412142/,"Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.",8.7,541624,10,1
48,Slow Horses,"Drama, Thriller",https://www.imdb.com/title/tt5875444/,Follows a team of British intelligence agents who serve as a dumping ground department of MI5 due to their career-ending mistakes.,8.3,98108,10,1
49,True Detective,"Crime, Drama, Mystery",https://www.imdb.com/title/tt2356777/,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",8.9,682440,10,1
50,Bleach: Sennen Kessen-hen,"Animation, Action, Adventure",https://www.imdb.com/title/tt14986406/,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who&apos;s behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura ...",9.0,53885,10,1
51,The Office,Comedy,https://www.imdb.com/title/tt0386676/,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, tedium and romance.",9.0,752962,10,1
52,The Sex Lives of College Girls,Comedy,https://www.imdb.com/title/tt11212276/,"Four 18-year-old freshman roommates at Essex College in Vermont. A bundle of contradictions and hormones, these sexually active college girls are equal parts lovable and infuriating.",7.8,30286,10,1
